id,senderId,receiverId,message,timestamp,attachments
cm73sollf000lu6fcd983v6gl,cm725dh2l0010u6h4vffjc33n,cm7258z3g0012u64g3aoh6ame,कृषि विभाग द्वारा नई फसल बीमा योजना की जानकारी। कृपया किसानों को सूचित करें।,2025-02-12 14:20:00,"[{""url"":""http://example.com/crop_insurance.pdf"",""fileName"":""crop_insurance.pdf""}]"
cm73solm1000nu6fcy9tq5jfq,cm725dg6o0005u6h4jkjbkawz,cm7258zql002uu64glvgdgg0j,स्कूल भवन के नवीनीकरण का प्रस्ताव। छात्र संख्या बढ़ने के कारण अतिरिक्त कक्षाएं आवश्यक।,2025-02-13 11:45:00,"[{""url"":""http://example.com/school_renovation.pdf"",""fileName"":""school_renovation.pdf""}]"
cm73solmn000pu6fcrg9hbxo1,cm725dhc90017u6h4pclrf51x,cm7258zgp0024u64gtr92nqf5,जल जीवन मिशन की प्रगति रिपोर्ट: 75% घरों में नल कनेक्शन स्थापित। शेष कार्य अगले माह तक पूर्ण होगा।,2025-02-02 11:30:00,"[{""url"":""http://example.com/jjm_progress.pdf"",""fileName"":""jjm_progress.pdf""}]"
cm73soln7000ru6fcpb20i857,cm725gcbm00vyu6o4yu0n0zas,cm7258yw6000ku64gx85l82pr,आयुष्मान भारत कार्ड वितरण कैम्प का आयोजन दिनांक 15 फरवरी को। कृपया ग्राम वासियों को सूचित करें।,2025-02-03 09:15:00,"[{""url"":""http://example.com/ayushman_camp.pdf"",""fileName"":""ayushman_camp.pdf""}]"
cm73solnu000tu6fc45tc5hkf,cm725dg830006u6h44jyrjmcn,cm7258z3g0012u64g3aoh6ame,कौशल विकास केंद्र में नए बैच की शुरुआत। 100 युवाओं को रोजगारपरक प्रशिक्षण दिया जाएगा।,2025-02-04 14:45:00,"[{""url"":""http://example.com/skill_center.pdf"",""fileName"":""skill_center.pdf""}]"
cm73solof000vu6fczm9cdfln,cm725dgxt000xu6h4670vuanc,cm725900p003mu64gt3kgxkln,स्मार्ट ग्राम योजना के तहत वाई-फाई हॉटस्पॉट स्थापना प्रगति पर। 5 में से 3 स्थान पूर्ण।,2025-02-05 08:20:00,"[{""url"":""http://example.com/wifi_progress.xlsx"",""fileName"":""wifi_progress.xlsx""}]"
cm73solox000xu6fc3wrlywzz,cm725dh9h0015u6h4t5wwsnen,cm7258yrs0009u64gaqyc2eul,आपदा प्रबंधन: बाढ़ प्रभावित क्षेत्रों में तत्काल राहत सामग्री की आवश्यकता। कृपया स्वीकृति प्रदान करें।,2025-02-06 16:00:00,"[{""url"":""http://example.com/flood_relief.pdf"",""fileName"":""flood_relief.pdf""}]"
cm73solpj000zu6fcsnehhwh3,cm725dhlg001lu6h4i24bf51k,cm7258z310011u64gwz91b2dg,पशु टीकाकरण शिविर का आयोजन 20-25 फरवरी तक। सभी पशुपालकों को सूचित करें।,2025-02-07 13:30:00,[]
cm73solq10011u6fcz3r86dw7,cm725dh9h0015u6h4t5wwsnen,cm7258ytw000eu64gvxpr9zpi,ग्रामीण सड़क निर्माण कार्य में विलंब। ठेकेदार को नोटिस जारी करने की अनुमति चाहिए।,2025-02-08 11:00:00,"[{""url"":""http://example.com/road_delay_report.pdf"",""fileName"":""road_delay_report.pdf""}]"
cm73solqn0013u6fcgh57wjch,cm725dgc70009u6h4pqcjyeb5,cm7258z7p001eu64g8limxdtl,किसान क्रेडिट कार्ड शिविर 1 मार्च को। लक्ष्य: 500 नए कार्ड। कृपया प्रचार-प्रसार करवाएं।,2025-02-09 15:45:00,[]
cm73solr60015u6fc8ueci7e2,cm725dhc90017u6h4pclrf51x,cm7258zta0031u64guz3608mn,"स्वयं सहायता समूहों को माइक्रो लोन वितरण कार्यक्रम की स्वीकृति आवश्यक। 50 समूह, 25 लाख रुपये।",2025-02-10 10:30:00,"[{""url"":""http://example.com/shg_loan_proposal.pdf"",""fileName"":""shg_loan_proposal.pdf""}]"
cm73solrt0017u6fc2rm1g3jq,cm725dgc70009u6h4pqcjyeb5,cm7258zsn002zu64g6uiqpez4,खाद्य सुरक्षा: राशन विक्रेताओं की मासिक बैठक 5 मार्च को। उपस्थिति अनिवार्य है।,2025-02-11 09:00:00,[]
cm73solsd0019u6fci489rnzc,cm725dgdh000au6h4fagm9twc,cm7258yt1000cu64g55ie02pk,ग्रामीण खेल मैदान निर्माण प्रस्ताव। अनुमानित लागत: 15 लाख। खेल विभाग से स्वीकृति प्राप्त।,2025-02-12 14:20:00,"[{""url"":""http://example.com/sports_ground.pdf"",""fileName"":""sports_ground.pdf""}]"
cm73solsz001bu6fc51zec5t7,cm725dgzm000yu6h4ywfzbf9r,cm7258zaa001mu64g4cexdxm1,महिला सशक्तिकरण: सिलाई प्रशिक्षण केंद्र के लिए 20 नई मशीनें प्राप्त। वितरण कार्यक्रम की तिथि तय करें।,2025-02-13 11:45:00,[]
cm73soltj001du6fcssqxbw0v,cm725gcgx00w1u6o446wznswt,cm7258zh10025u64gyp9w5si4,वृक्षारोपण अभियान प्रगति: 5000 में से 3000 पौधे रोपित। जल संरक्षण कार्य भी साथ में जारी।,2025-02-14 10:00:00,"[{""url"":""http://example.com/plantation_report.pdf"",""fileName"":""plantation_report.pdf""}]"
cm73solu4001fu6fcena8x6ka,cm725dh2l0010u6h4vffjc33n,cm7258z7d001du64goov4fpk7,स्वच्छ भारत मिशन: कम्पोस्ट पिट निर्माण कार्य 80% पूर्ण। शेष कार्य 10 दिन में पूरा होगा।,2025-02-15 13:15:00,[]
cm73solup001hu6fcl3jjsih6,cm725dg0e0001u6h4by5yx0yk,cm7258ypg0004u64gzugfyzhg,ग्राम पंचायत भवन मरम्मत कार्य आवश्यक। छत रिसाव से दस्तावेज खराब होने का खतरा।,2025-02-16 15:30:00,"[{""url"":""http://example.com/building_repair.pdf"",""fileName"":""building_repair.pdf""}]"
cm73solv8001ju6fcmd5phyue,cm725dgxt000xu6h4670vuanc,cm7258zed001xu64gdtrzfr9q,डिजिटल साक्षरता अभियान: मोबाइल बैंकिंग प्रशिक्षण कल से प्रारंभ। 100 लोगों का पंजीकरण पूर्ण।,2025-02-17 09:45:00,[]
cm73solvs001lu6fcyi0bq3wo,cm725dgzm000yu6h4ywfzbf9r,cm7258yqp0007u64gnojmg3dw,ग्रामीण स्वास्थ्य केंद्र में नए डॉक्टर की नियुक्ति। आवास व्यवस्था की स्वीकृति आवश्यक।,2025-02-18 12:00:00,"[{""url"":""http://example.com/doctor_appointment.pdf"",""fileName"":""doctor_appointment.pdf""}]"
cm73solwc001nu6fc4w58y1lc,cm725dgv4000vu6h4pyaidp0c,cm7258zpr002su64g8zkuxzgw,बाल विकास परियोजना: नए आंगनवाड़ी केंद्र का उद्घाटन 1 मार्च को। कृपया तैयारी करवाएं।,2025-02-19 14:20:00,[]
cm73solww001pu6fcjiq0a87q,cm725dgc70009u6h4pqcjyeb5,cm7258yzr000tu64g3yx50b85,ग्रामीण उद्योग प्रोत्साहन: हथकरघा क्लस्टर के लिए 50 लाख की योजना। विस्तृत प्रस्ताव संलग्न।,2025-02-20 16:45:00,"[{""url"":""http://example.com/handloom_cluster.pdf"",""fileName"":""handloom_cluster.pdf""}]"
