id,announceForRole,description,attachments,title,channels,comments,citizenReactions,authorityId,departmentId
cm73sco4u000au6n0jry7j9pu,"[""PANCHAYAT_OFFICER"",""BLOCK_OFFICER"",""COMMISSIONER""]","महिलाओं की सुरक्षा के लिए विशेष अभियान शुरू किया गया है, जिसमें हेल्पलाइन नंबर और सुरक्षा ऐप की जानकारी दी जाएगी।",[],महिला सुरक्षा अभियान,[],"[""महिलाओं के लिए यह बहुत उपयोगी होगा।""]","[""सराहनीय पहल!""]",cm7258yuf000gu64gokr3oqbz,
cm73sco5x000bu6n0mix74bqu,"[""PANCHAYAT_OFFICER"",""BLOCK_OFFICER"",""COMMISSIONER"",""ADMINISTRATOR""]","स्वच्छ भारत मिशन के तहत नए स्वच्छता अभियान की शुरुआत की गई है, जिसमें सभी नागरिकों की भागीदारी आवश्यक है।",[],स्वच्छता अभियान,[],"[""सभी को इसमें शामिल होना चाहिए।""]","[""हम तैयार हैं!""]",cm7258yuf000gu64gokr3oqbz,
cm73sco6w000cu6n0zvih9132,"[""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""BLOCK_OFFICER"",""CITIZEN""]","शिक्षकों के लिए नए प्रशिक्षण कार्यक्रम की घोषणा की गई है, जो अगले महीने से शुरू होगा।",[],शिक्षक प्रशिक्षण कार्यक्रम,[],"[""उत्कृष्ट पहल!""]","[""शिक्षकों के लिए यह बहुत लाभदायक होगा।""]",cm7258yuf000gu64gokr3oqbz,
cm73sco7r000du6n04o68iw0l,"[""FIELD_WORKER"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""ADMINISTRATOR"",""PANCHAYAT_OFFICER""]",सरकार ने डिजिटल सेवाओं के उपयोग को बढ़ावा देने के लिए नई पहल की घोषणा की है।,[],डिजिटल इंडिया पहल,[],"[""यह नागरिकों के लिए बहुत उपयोगी होगा।""]","[""डिजिटल इंडिया की ओर एक और कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73sco8k000eu6n01lesmh8m,"[""CITIZEN"",""DISTRICT_MAGISTRATE"",""NAGAR_SEVAK"",""FIELD_WORKER"",""DEPARTMENT_HEAD"",""DEPARTMENT_OFFICER"",""ADMINISTRATOR"",""COMMISSIONER""]",ग्रामीण क्षेत्रों में नि:शुल्क स्वास्थ्य शिविरों का आयोजन किया जाएगा।,[],स्वास्थ्य शिविर,[],"[""हम इसमें भाग लेंगे।""]","[""स्वास्थ्य के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73sco9l000fu6n0o6onk9eg,"[""ADMINISTRATOR"",""PANCHAYAT_OFFICER"",""FIELD_WORKER"",""DEPARTMENT_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_HEAD"",""DISTRICT_MAGISTRATE"",""CITIZEN"",""COMMISSIONER"",""BLOCK_OFFICER""]",जल संरक्षण के लिए विशेष अभियान शुरू किया गया है।,[],जल संरक्षण अभियान,[],"[""सभी को इसमें शामिल होना चाहिए।""]","[""जल ही जीवन है।""]",cm7258yuf000gu64gokr3oqbz,
cm73scoai000gu6n0mbxb0qao,"[""NAGAR_SEVAK"",""CITIZEN"",""PANCHAYAT_OFFICER""]",सड़क सुरक्षा के प्रति जागरूकता बढ़ाने के लिए विशेष सप्ताह का आयोजन किया जाएगा।,[],सड़क सुरक्षा सप्ताह,[],"[""हम इसका समर्थन करते हैं।""]","[""सड़क सुरक्षा महत्वपूर्ण है।""]",cm7258yuf000gu64gokr3oqbz,
cm73scobd000hu6n0ht2o69xl,"[""DISTRICT_MAGISTRATE"",""BLOCK_OFFICER"",""NAGAR_SEVAK""]",युवाओं के लिए नए कौशल विकास कार्यक्रम की घोषणा की गई है।,[],कौशल विकास कार्यक्रम,[],"[""हम इसमें भाग लेंगे।""]","[""युवाओं के लिए अच्छा अवसर।""]",cm7258yuf000gu64gokr3oqbz,
cm73scoc8000iu6n0gyc1smdd,"[""DEPARTMENT_HEAD"",""DISTRICT_MAGISTRATE"",""ADMINISTRATOR""]",पर्यावरण संरक्षण के लिए विशेष दिवस का आयोजन किया जाएगा।,[],पर्यावरण संरक्षण दिवस,[],"[""सभी को इसमें शामिल होना चाहिए।""]","[""पर्यावरण की रक्षा आवश्यक है।""]",cm7258yuf000gu64gokr3oqbz,
cm73scod2000ju6n0xqxpchvn,"[""ADMINISTRATOR"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""CITIZEN"",""COMMISSIONER"",""BLOCK_OFFICER"",""FIELD_WORKER""]",बालिकाओं की शिक्षा को बढ़ावा देने के लिए नई योजना की घोषणा की गई है।,[],बालिका शिक्षा प्रोत्साहन,[],"[""हम इसका समर्थन करते हैं।""]","[""बालिकाओं के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scoe4000ku6n0agbxb1wb,"[""DEPARTMENT_HEAD"",""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER"",""ADMINISTRATOR""]",वरिष्ठ नागरिकों के लिए विशेष सहायता कार्यक्रम की घोषणा की गई है।,[],वरिष्ठ नागरिक सहायता,[],"[""हम इसमें भाग लेंगे।""]","[""वरिष्ठ नागरिकों के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scof0000lu6n0dyccqxjn,"[""NAGAR_SEVAK"",""ADMINISTRATOR"",""COMMISSIONER"",""BLOCK_OFFICER"",""CITIZEN"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER""]",स्वच्छ ऊर्जा के उपयोग को बढ़ावा देने के लिए नई योजना की घोषणा की गई है।,[],स्वच्छ ऊर्जा योजना,[],"[""यह पर्यावरण के लिए अच्छा है।""]","[""स्वच्छ ऊर्जा की ओर एक और कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scofs000mu6n0lpqknwgu,"[""FIELD_WORKER"",""DEPARTMENT_HEAD"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER"",""ADMINISTRATOR"",""CITIZEN"",""COMMISSIONER"",""DISTRICT_MAGISTRATE""]",आपदा प्रबंधन के लिए विशेष प्रशिक्षण कार्यक्रम की घोषणा की गई है।,[],आपदा प्रबंधन प्रशिक्षण,[],"[""हम इसमें भाग लेंगे।""]","[""आपदा प्रबंधन महत्वपूर्ण है।""]",cm7258yuf000gu64gokr3oqbz,
cm73scogr000nu6n012ee9puh,"[""CITIZEN"",""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""COMMISSIONER"",""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER"",""NAGAR_SEVAK"",""BLOCK_OFFICER"",""ADMINISTRATOR""]",महिलाओं के सशक्तिकरण के लिए नई योजना की घोषणा की गई है।,[],नारी सशक्तिकरण योजना,[],"[""हम इसका समर्थन करते हैं।""]","[""महिलाओं के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scoho000ou6n04uh80daf,"[""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER"",""COMMISSIONER"",""DEPARTMENT_HEAD"",""DISTRICT_MAGISTRATE"",""NAGAR_SEVAK""]",नागरिकों के लिए नई स्वास्थ्य बीमा योजना की घोषणा की गई है।,[],स्वास्थ्य बीमा योजना,[],"[""हम इसमें भाग लेंगे।""]","[""स्वास्थ्य के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scoir000pu6n01gkqfmio,"[""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER""]",किसानों के लिए नई कृषि तकनीक प्रशिक्षण कार्यक्रम की घोषणा की गई है।,[],कृषि तकनीक प्रशिक्षण,[],"[""हम इसमें भाग लेंगे।""]","[""किसानों के लिए अच्छा अवसर।""]",cm7258yuf000gu64gokr3oqbz,
cm73scojq000qu6n0rchuf7y3,"[""COMMISSIONER"",""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE"",""BLOCK_OFFICER"",""ADMINISTRATOR"",""CITIZEN""]",शहरी क्षेत्रों के विकास के लिए नई योजना की घोषणा की गई है।,[],शहरी विकास योजना,[],"[""हम इसका समर्थन करते हैं।""]","[""शहरों के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scokk000ru6n03y8p0m5j,"[""DEPARTMENT_HEAD"",""BLOCK_OFFICER"",""CITIZEN"",""PANCHAYAT_OFFICER""]",ग्रामीण क्षेत्रों में नई सड़कों के निर्माण की घोषणा की गई है।,[],ग्रामीण सड़क निर्माण,[],"[""हम इसका समर्थन करते हैं।""]","[""ग्रामीण क्षेत्रों के लिए अच्छा कदम।""]",cm7258yuf000gu64gokr3oqbz,
cm73scoli000su6n0hnegz2h2,"[""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""FIELD_WORKER"",""DEPARTMENT_HEAD"",""ADMINISTRATOR"",""CITIZEN"",""COMMISSIONER"",""BLOCK_OFFICER""]",उत्तर प्रदेश सरकार ने शिक्षित बेरोजगार युवाओं के लिए मुख्यमंत्री युवा स्वरोजगार योजना की शुरुआत की है।,[],मुख्यमंत्री युवा स्वरोजगार योजना का शुभारंभ,[],'बहुत अच्छी पहल!' - अमित कुमार,"{'likes': 1500, 'shares': 300}",cm7258yuf000gu64gokr3oqbz,
cm73scomb000tu6n0d3kwf0tn,"[""DEPARTMENT_OFFICER"",""BLOCK_OFFICER""]",कस्तूरबा गांधी बालिका विद्यालयों में रिक्त पदों के लिए आवेदन आमंत्रित किए जाते हैं।,[],कस्तूरबा गांधी बालिका विद्यालय में रिक्त पदों की सूचना,[],'महिलाओं के लिए अच्छा अवसर।' - स्नेहा वर्मा,"{'likes': 800, 'shares': 150}",cm7258yuf000gu64gokr3oqbz,
cm73scon7000uu6n0gaimlau0,"[""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER""]",बुंदेलखंड एक्सप्रेसवे परियोजना के लिए भूमि अधिग्रहण की अधिसूचना जारी की गई है।,[],बुंदेलखंड एक्सप्रेसवे परियोजना भूमि अधिग्रहण अधिसूचना,[],'विकास के लिए महत्वपूर्ण कदम।' - राजेश सिंह,"{'likes': 1200, 'shares': 250}",cm7258yuf000gu64gokr3oqbz,
cm73scoo1000vu6n0j6xr8158,"[""PANCHAYAT_OFFICER"",""DISTRICT_MAGISTRATE"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER""]",शहरी क्षेत्रों में आशा कार्यकर्ताओं के चयन के लिए आवेदन आमंत्रित किए जाते हैं।,[],शहरी आशा चयन हेतु विज्ञापन,[],'स्वास्थ्य सेवाओं में सुधार के लिए आवश्यक।' - कविता मिश्रा,"{'likes': 900, 'shares': 200}",cm7258yuf000gu64gokr3oqbz,
cm73scooz000wu6n0akj2f4eo,"[""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE"",""COMMISSIONER"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER""]",संविदा दंत चिकित्सकों के साक्षात्कार की तिथि की घोषणा की गई है।,[],मुख्य चिकित्सा अधिकारी द्वारा संविदा दंत चिकित्सकों के साक्षात्कार की सूचना,[],'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - विकास यादव,"{'likes': 600, 'shares': 100}",cm7258yuf000gu64gokr3oqbz,
cm73scoqw000xu6n023mphy8c,"[""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""CITIZEN"",""DEPARTMENT_HEAD"",""BLOCK_OFFICER"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_OFFICER""]",अटल आवासीय विद्यालय में कंप्यूटर शिक्षक गेस्ट फैकल्टी के लिए साक्षात्कार की तिथि घोषित की गई है।,[],अटल आवासीय विद्यालय में कंप्यूटर शिक्षक गेस्ट फैकल्टी के लिए साक्षात्कार,[],'शिक्षकों के लिए अच्छा अवसर।' - प्रिया शर्मा,"{'likes': 700, 'shares': 120}",cm7258yuf000gu64gokr3oqbz,
cm73scoru000yu6n0l0w5cg5y,"[""CITIZEN"",""PANCHAYAT_OFFICER"",""DEPARTMENT_OFFICER"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""ADMINISTRATOR"",""COMMISSIONER""]",जनपद बस्ती में उपखनिज निस्तारण के लिए ई-निविदा आमंत्रित की जाती हैं।,[],उपखनिज निस्तारण के लिए ई-निविदा आमंत्रण,[],'उद्योगपतियों के लिए महत्वपूर्ण सूचना।' - अनिल अग्रवाल,"{'likes': 500, 'shares': 80}",cm7258yuf000gu64gokr3oqbz,
cm73scosn000zu6n030rhrn99,"[""BLOCK_OFFICER"",""PANCHAYAT_OFFICER"",""NAGAR_SEVAK"",""DISTRICT_MAGISTRATE"",""ADMINISTRATOR"",""COMMISSIONER"",""DEPARTMENT_OFFICER"",""DEPARTMENT_HEAD""]",लोकसभा सामान्य निर्वाचन 2024 के लिए दर सूची जारी की गई है।,[],लोकसभा सामान्य निर्वाचन 2024 की दर सूची,[],'चुनाव प्रक्रिया के लिए आवश्यक जानकारी।' - सुरेश चौधरी,"{'likes': 1100, 'shares': 210}",cm7258yuf000gu64gokr3oqbz,
cm73scoth0010u6n0xc1x2r43,"[""BLOCK_OFFICER"",""COMMISSIONER""]",जिला सर्वेक्षण रिपोर्ट का ड्राफ्ट जारी किया गया है।,[],जिला सर्वेक्षण रिपोर्ट ड्राफ्ट जारी,[],'विकास योजनाओं के लिए उपयोगी।' - नीतू सिंह,"{'likes': 650, 'shares': 130}",cm7258yuf000gu64gokr3oqbz,
cm73scoui0011u6n0ynoj9e2d,"[""NAGAR_SEVAK"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""CITIZEN"",""PANCHAYAT_OFFICER""]",आबकारी विभाग की ई-लॉटरी के परिणाम घोषित किए गए हैं।,[],आबकारी विभाग ई-लॉटरी परिणाम 2023-24,[],'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - दीपक गुप्ता,"{'likes': 950, 'shares': 180}",cm7258yuf000gu64gokr3oqbz,
cm73scovk0012u6n0x59w950j,"[""DEPARTMENT_OFFICER"",""NAGAR_SEVAK"",""COMMISSIONER"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""CITIZEN"",""PANCHAYAT_OFFICER"",""BLOCK_OFFICER""]",अटल आवासीय विद्यालय की प्रवेश परीक्षा के परिणाम घोषित किए गए हैं।,[],अटल आवासीय विद्यालय प्रवेश परीक्षा परिणाम,[],'छात्रों के लिए खुशी की खबर।' - राधा पांडे,"{'likes': 1000, 'shares': 190}",cm7258yuf000gu64gokr3oqbz,
cm73scowh0013u6n021q0phh2,"[""DEPARTMENT_HEAD"",""COMMISSIONER"",""PANCHAYAT_OFFICER"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""FIELD_WORKER"",""CITIZEN"",""ADMINISTRATOR""]",कस्तूरबा गांधी आवासीय बालिका विद्यालय में संविदा आधार पर रिक्त पदों के लिए आवेदन आमंत्रित किए जाते हैं।,[],कस्तूरबा गांधी आवासीय बालिका विद्यालय में रिक्त पदों की सूचना,[],'महिला सशक्तिकरण की दिशा में कदम।' - पूजा सिंह,"{'likes': 850, 'shares': 160}",cm7258yuf000gu64gokr3oqbz,
cm73scoxc0014u6n02a21hjvi,"[""ADMINISTRATOR"",""BLOCK_OFFICER"",""FIELD_WORKER""]",जिला सर्वेक्षण रिपोर्ट का ड्राफ्ट जारी किया गया है।,[],जिला सर्वेक्षण रिपोर्ट ड्राफ्ट जारी,[],'विकास योजनाओं के लिए उपयोगी।' - नीतू सिंह,"{'likes': 700, 'shares': 140}",cm7258yuf000gu64gokr3oqbz,
cm73scoya0015u6n03rh7z37b,"[""DEPARTMENT_OFFICER"",""PANCHAYAT_OFFICER"",""DEPARTMENT_HEAD"",""NAGAR_SEVAK""]",आबकारी विभाग की ई-लॉटरी के परिणाम घोषित किए गए हैं।,[],आबकारी विभाग ई-लॉटरी परिणाम 2023-24,[],'उम्मीदवारों के लिए महत्वपूर्ण सूचना।' - दीपक गुप्ता,"{'likes': 950, 'shares': 180}",cm7258yuf000gu64gokr3oqbz,
cm73scoz80016u6n0wfessd38,"[""DEPARTMENT_OFFICER"",""DISTRICT_MAGISTRATE"",""FIELD_WORKER"",""PANCHAYAT_OFFICER"",""CITIZEN"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_HEAD"",""COMMISSIONER""]",अटल आवासीय विद्यालय की प्रवेश परीक्षा के परिणाम घोषित किए गए हैं।,[],अटल आवासीय विद्यालय प्रवेश परीक्षा परिणाम,[],'छात्रों के लिए खुशी की खबर।' - राधा पांडे,"{'likes': 1000, 'shares': 190}",cm7258yuf000gu64gokr3oqbz,
cm73sfwsz0000u6co0r6j8ysf,"[""BLOCK_OFFICER"",""ADMINISTRATOR"",""FIELD_WORKER"",""DISTRICT_MAGISTRATE"",""CITIZEN""]",स्वच्छ भारत मिशन का उद्देश्य पूरे देश में स्वच्छता के स्तर को बढ़ाना है। सभी नागरिकों से अपील की जाती है कि वे स्वच्छता बनाए रखें और खुले में शौच न करें।,[],स्वच्छ भारत मिशन,[],"{""user1"": ""बहुत अच्छी पहल!","{""likes"": 1500, ""shares"": 300, ""comments"": 250}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfwvr0001u6co0us7vqoq,"[""DEPARTMENT_HEAD"",""DISTRICT_MAGISTRATE""]",The government has launched the Pradhan Mantri Gramin Awas Yojana to provide affordable housing to the rural poor. Eligible families will receive financial assistance to build pucca houses.,[],Pradhan Mantri Gramin Awas Yojana,[],"{""user1"": ""Great initiative for rural development.","{""likes"": 1200, ""shares"": 250, ""comments"": 200}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfwxj0002u6cooxt6zeqn,"[""BLOCK_OFFICER"",""DEPARTMENT_OFFICER"",""FIELD_WORKER"",""ADMINISTRATOR"",""DEPARTMENT_HEAD"",""PANCHAYAT_OFFICER""]","PM Gati Shakti योजना के माध्यम से, सरकार मल्टी-मॉडल कनेक्टिविटी में सुधार कर रही है, जिससे परिवहन और लॉजिस्टिक्स में दक्षता बढ़ेगी।",[],PM Gati Shakti,[],"{""user1"": ""उद्योगों के लिए लाभकारी योजना।","{""likes"": 900, ""shares"": 180, ""comments"": 150}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfwzo0003u6co0zi5bqyb,"[""DISTRICT_MAGISTRATE"",""ADMINISTRATOR"",""NAGAR_SEVAK"",""DEPARTMENT_HEAD"",""FIELD_WORKER"",""DEPARTMENT_OFFICER""]",The government mandates the use of locally-made solar cells in clean energy projects from June 2026 to boost domestic manufacturing and reduce reliance on imports.,[],Solar Cell Manufacturing Policy,[],"{""user1"": ""This will strengthen local industries.","{""likes"": 1100, ""shares"": 220, ""comments"": 180}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfx1v0004u6conac6s7l4,"[""CITIZEN"",""DISTRICT_MAGISTRATE"",""ADMINISTRATOR"",""BLOCK_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_HEAD"",""COMMISSIONER""]","सरकार ने क्षेत्रीय ग्रामीण बैंकों के विलय का प्रस्ताव रखा है, जिससे उनकी संख्या 43 से घटकर 28 हो जाएगी। इससे उनकी पूंजी आधार मजबूत होगी और ग्रामीण क्षेत्रों में बेहतर बैंकिंग सेवाएं मिलेंगी।",[],Regional Rural Banks Merger,[],"{""user1"": ""ग्रामीण बैंकिंग के लिए अच्छा कदम।","{""likes"": 800, ""shares"": 160, ""comments"": 130}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfx3k0005u6copqlmtreg,"[""CITIZEN"",""DISTRICT_MAGISTRATE"",""ADMINISTRATOR"",""BLOCK_OFFICER"",""PANCHAYAT_OFFICER"",""NAGAR_SEVAK"",""DEPARTMENT_OFFICER"",""COMMISSIONER""]","The government has banned the use of black gowns and mortarboards in state-owned medical college graduation ceremonies, promoting traditional Indian attire instead.",[],Graduation Ceremony Dress Code Change,[],"{""user1"": ""A move to embrace our culture.","{""likes"": 700, ""shares"": 140, ""comments"": 120}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfx580006u6co1jt06e8e,"[""PANCHAYAT_OFFICER"",""COMMISSIONER"",""NAGAR_SEVAK"",""BLOCK_OFFICER"",""ADMINISTRATOR"",""DISTRICT_MAGISTRATE""]","सरकार ने संघीय सरकारी कर्मचारियों के लिए एक आश्वासित पेंशन योजना को मंजूरी दी है, जिसमें सेवानिवृत्ति के बाद उनके अंतिम वेतन का 50% पेंशन के रूप में मिलेगा। यह योजना 1 अप्रैल 2025 से लागू होगी।",[],Assured Pension Scheme,[],"{""user1"": ""सरकारी कर्मचारियों के लिए राहत भरी खबर।","{""likes"": 1300, ""shares"": 260, ""comments"": 220}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
cm73sfx6z0007u6co1l6b06hr,"[""BLOCK_OFFICER"",""NAGAR_SEVAK"",""FIELD_WORKER""]","The government has reduced the windfall tax on petroleum crude from ₹4,600 per metric ton to ₹2,100 per metric ton, effective from August 17, 2024.",[],Windfall Tax Reduction,[],"{""user1"": ""This will benefit the oil industry.","{""likes"": 600, ""shares"": 120, ""comments"": 100}",cm7258yuf000gu64gokr3oqbz,cm725dfx50000u6h4y67rc83j
