id,title,complaint,complaintType,category,subcategory,estimatedResolutionTime,status,urgencyLevel,priorityLevel,isAnonymous,economicImpact,socialImpact,emotion,estimated,ResolutionTime,relatedPolicies,timestamp,lastUpdatedDate,submissionDate,currentLevel,escalationHistory,assignedAuthorities,resolutionPath,environmentalImpact,userId,departmentId,locationId
cm725etnk000wu6o4jb68vlkg,Garbage Issue in Rampur,"The garbage bins are never cleared on time, and the streets are always littered with waste. It’s become a serious environmental concern.",Garbage,Sanitation,Waste Management,28,Open,High,MEDIUM,false,Medium - Increased healthcare costs due to diseases,High - Affecting public health and hygiene,Disgust,,,"['Municipal Solid Waste Management Rules', 'Public Health Act']",2025-02-12 16:51:48.512,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,High - Pollution and contamination of local environment,cm725etmm000uu6o4ozfcze5n,cm725dg1z0002u6h4amagnkym,cm725etn6000vu6o4shv34wki
cm725etqp000zu6o4hwxukvfw,Roads Issue in Basti,"The roads are not only poorly maintained but are also overcrowded with heavy traffic. This causes constant delays and accidents, and the situation has been ignored for far too long.",Roads,Infrastructure,Road Maintenance,20,In Progress,High,MEDIUM,false,Medium - Vehicle repair costs and delays,High - Increased accidents and injuries,Anger,,,"['Public Works Department Guidelines', 'Road Safety Act']",2025-02-12 16:51:48.625,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725etpq000xu6o4oj5jjkge,cm725dg3k0003u6h4e8f3kb9h,cm725etqg000yu6o4bfc38mk8
cm725ettx0012u6o4rrlahk20,Public Transport Issue in Sitapur,"There are hardly any buses during off-peak hours. It’s extremely difficult to travel within the city after 8 PM, and people are forced to use private vehicles.",Public Transport,Transport,Public Transport,9,Closed,Medium,MEDIUM,false,Medium - Increased expenses on alternative transport,High - Affecting daily commute and productivity,Irritation,,,"['Public Transport Regulations', 'Urban Transport Policy']",2025-02-12 16:51:48.741,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725etsw0010u6o4wavwgh5c,cm725dg560004u6h4g36ue2gh,cm725ettn0011u6o40b6kn1mk
cm725etwz0015u6o4m4ct6tl0,Health Services Issue in Moradabad,"We visited the district hospital, and the conditions were appalling. The hospital was overcrowded, lacked proper facilities, and the doctors were unavailable for consultations.",Health Services,Healthcare,Hospital Management,2,Closed,High,MEDIUM,false,Medium - Increased healthcare costs,High - Affecting public health and well-being,Frustration,,,"['Public Health Act', 'Hospital Management Guidelines']",2025-02-12 16:51:48.852,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725etvx0013u6o4hrr48ohe,cm725dg6o0005u6h4jkjbkawz,cm725etwl0014u6o4l1jmt5g2
cm725eu0m0018u6o47t3wb8sy,Police & Law Issue in Kanpur,"The police are failing to provide security in our neighborhood. We have had several robberies, and despite reporting them, there is no visible improvement in the situation.",Police & Law,Law & Order,Crime Management,26,In Progress,High,MEDIUM,false,Medium - Losses due to theft and crime,High - Increased crime and insecurity,Anger,,,"['Police Act', 'Criminal Procedure Code']",2025-02-12 16:51:48.983,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725etzb0016u6o4t50johak,cm725dg830006u6h44jyrjmcn,cm725eu0c0017u6o4cwcjbo7i
cm725eu49001bu6o4df0uxzka,Education Issue in Varanasi,"There is a severe shortage of classrooms in our school, and students are forced to study in poorly ventilated areas. This has a direct impact on their learning experience.",Education,Education,School Management,29,Closed,High,MEDIUM,false,Medium - Increased expenses on private tuition,High - Affecting quality of education,Concern,,,"['Education Act', 'Teacher Recruitment Policy']",2025-02-12 16:51:49.113,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725eu330019u6o42ys5qkfo,cm725dg9j0007u6h4tzh2udh2,cm725eu3x001au6o4uonm6tih
cm725eu8w001eu6o4qpwhr4g8,Water Supply Issue in Meerut,"The water supply has been erratic, and when the water does arrive, it’s often dirty. We have raised complaints, but no improvement has been seen.",Water Supply,Infrastructure,Water Distribution,23,In Progress,High,MEDIUM,false,Medium - Families spending extra money on private water tankers,High - Affecting daily lives of hundreds of families in the area,Disappointment,,,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",2025-02-12 16:51:49.28,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local vegetation,cm725eu6h001cu6o4vigm0y34,cm725dfx50000u6h4y67rc83j,cm725eu89001du6o4cv4pfbh3
cm725euc1001hu6o4s8jjsxdn,Electricity Issue in Jalaun,The frequent power outages in our area are becoming unbearable. Even essential services like water pumps are not functioning properly due to power cuts.,Electricity,Utilities,Power Distribution,29,In Progress,High,MEDIUM,false,High - Business losses and additional expenses on generators,High - Disrupting business operations and daily activities,Irritation,,,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",2025-02-12 16:51:49.393,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Medium - Increased generator usage causing pollution,cm725eub4001fu6o46mzcu0ek,cm725dg0e0001u6h4by5yx0yk,cm725eubj001gu6o45qhc9r1u
cm725euf9001ku6o47v4ugi9h,Garbage Issue in Ballia,"Garbage piles up on the streets every day, and the authorities never take action. This leads to the spread of diseases and creates a serious public health concern.",Garbage,Sanitation,Waste Management,25,In Progress,High,MEDIUM,false,Medium - Increased healthcare costs due to diseases,High - Affecting public health and hygiene,Frustration,,,"['Municipal Solid Waste Management Rules', 'Public Health Act']",2025-02-12 16:51:49.509,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,High - Pollution and contamination of local environment,cm725euec001iu6o4lkh68e2v,cm725dg1z0002u6h4amagnkym,cm725euey001ju6o4c2cgeo5m
cm725euiq001nu6o4zr7532ad,Roads Issue in Unnao,"The roads are so poorly maintained that they are barely usable. The government should prioritize road repairs, as it’s causing delays, accidents, and inconvenience.",Roads,Infrastructure,Road Maintenance,18,Closed,High,MEDIUM,false,Medium - Vehicle repair costs and delays,High - Increased accidents and injuries,Anger,,,"['Public Works Department Guidelines', 'Road Safety Act']",2025-02-12 16:51:49.634,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725euhj001lu6o47cg3cj43,cm725dg3k0003u6h4e8f3kb9h,cm725euic001mu6o4h6o4h7tk
cm725eum0001qu6o44c2i5fqg,Public Transport Issue in Muzaffarnagar,"The public buses are old, uncomfortable, and often overcrowded. There’s no dedicated lane for buses, leading to further delays in commuting.",Public Transport,Transport,Public Transport,7,In Progress,Medium,MEDIUM,false,Medium - Increased expenses on alternative transport,High - Affecting daily commute and productivity,Annoyance,,,"['Public Transport Regulations', 'Urban Transport Policy']",2025-02-12 16:51:49.752,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725eul5001ou6o4v1py5tm3,cm725dg560004u6h4g36ue2gh,cm725eulq001pu6o45n3j9z1q
cm725euos001tu6o4moo6a0is,Health Services Issue in Kushinagar,There is an alarming lack of medical supplies and qualified doctors in the local hospital. The healthcare system is in dire need of improvements.,Health Services,Healthcare,Hospital Management,26,Open,High,MEDIUM,false,Medium - Increased healthcare costs,High - Affecting public health and well-being,Concern,,,"['Public Health Act', 'Hospital Management Guidelines']",2025-02-12 16:51:49.852,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725eunx001ru6o4rfs0r5st,cm725dg6o0005u6h4jkjbkawz,cm725euoi001su6o4yi65u6k8
cm725eurp001wu6o41jgp8c0t,Police & Law Issue in Azamgarh,"The police do not take complaints of harassment or domestic violence seriously. Cases are often dismissed without investigation, leaving victims helpless.",Police & Law,Law & Order,Crime Management,7,In Progress,High,MEDIUM,false,Medium - Losses due to theft and crime,High - Increased crime and insecurity,Frustration,,,"['Police Act', 'Criminal Procedure Code']",2025-02-12 16:51:49.957,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725euqo001uu6o4oem4ssh6,cm725dg830006u6h44jyrjmcn,cm725eure001vu6o4ou46f71k
cm725euv4001zu6o4g789uiop,Education Issue in Jhansi,"The schools in our area lack basic infrastructure, such as functional toilets and clean drinking water. The lack of attention to education facilities is alarming.",Education,Education,School Management,19,Open,High,MEDIUM,false,Medium - Increased expenses on private tuition,High - Affecting quality of education,Disappointment,,,"['Education Act', 'Teacher Recruitment Policy']",2025-02-12 16:51:50.08,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725euu3001xu6o4t56rbsbj,cm725dg9j0007u6h4tzh2udh2,cm725euus001yu6o49db87a17
cm725euyg0022u6o47hahyezy,Water Supply Issue in Badaun,"There has been no water supply for over a week in our locality. We are forced to rely on private tankers, which are extremely costly and unreliable.",Water Supply,Infrastructure,Water Distribution,5,In Progress,High,MEDIUM,false,Medium - Families spending extra money on private water tankers,High - Affecting daily lives of hundreds of families in the area,Anger,,,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",2025-02-12 16:51:50.199,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local vegetation,cm725euxa0020u6o46xzm7ojk,cm725dfx50000u6h4y67rc83j,cm725euxq0021u6o47ot1j9qc
cm725ev1p0025u6o47mtmr2ja,Electricity Issue in Fatehpur,The power outages are so frequent that we can’t even charge our phones. This constant instability in power supply is affecting everyone.,Electricity,Utilities,Power Distribution,5,Open,High,MEDIUM,false,High - Business losses and additional expenses on generators,High - Disrupting business operations and daily activities,Disgust,,,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",2025-02-12 16:51:50.317,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Medium - Increased generator usage causing pollution,cm725ev0n0023u6o4wb0z64ia,cm725dg0e0001u6h4by5yx0yk,cm725ev1e0024u6o46ndn9p6g
cm725ev4r0028u6o4jsuiseyv,Garbage Issue in Faizabad,"Our locality is always surrounded by garbage, and it’s never cleared on time. It’s an eyesore, and the authorities need to take immediate action to improve sanitation.",Garbage,Sanitation,Waste Management,24,Closed,High,MEDIUM,false,Medium - Increased healthcare costs due to diseases,High - Affecting public health and hygiene,Anger,,,"['Municipal Solid Waste Management Rules', 'Public Health Act']",2025-02-12 16:51:50.428,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,High - Pollution and contamination of local environment,cm725ev3p0026u6o4e1wvi4g8,cm725dg1z0002u6h4amagnkym,cm725ev4i0027u6o40s7um8u2
cm725ev7l002bu6o481zq24or,Roads Issue in Amethi,"The roads are full of potholes, and there is no maintenance. We’ve reported this multiple times, but nothing has been done to resolve the issue.",Roads,Infrastructure,Road Maintenance,23,In Progress,High,MEDIUM,false,Medium - Vehicle repair costs and delays,High - Increased accidents and injuries,Disappointment,,,"['Public Works Department Guidelines', 'Road Safety Act']",2025-02-12 16:51:50.529,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725ev6m0029u6o4qdscphyp,cm725dg3k0003u6h4e8f3kb9h,cm725ev74002au6o4mrqogoor
cm725evas002eu6o4bof8tt08,Public Transport Issue in Pilibhit,"There is no proper schedule for public buses, and they are often delayed or canceled. This has made commuting extremely difficult for daily travelers.",Public Transport,Transport,Public Transport,29,Open,Medium,MEDIUM,false,Medium - Increased expenses on alternative transport,High - Affecting daily commute and productivity,Frustration,,,"['Public Transport Regulations', 'Urban Transport Policy']",2025-02-12 16:51:50.644,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725ev9o002cu6o4vo32qp63,cm725dg560004u6h4g36ue2gh,cm725evad002du6o4jv2m4bsk
cm725eve5002hu6o4x2oynf9y,Health Services Issue in Lucknow,"The government hospitals in Lucknow are overcrowded, and the waiting time is excessive. Even basic medical care is hard to access due to the overwhelming number of patients.",Health Services,Healthcare,Hospital Management,28,In Progress,High,MEDIUM,false,Medium - Increased healthcare costs,High - Affecting public health and well-being,Concern,,,"['Public Health Act', 'Hospital Management Guidelines']",2025-02-12 16:51:50.765,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local environment,cm725evd4002fu6o4za7za40t,cm725dg6o0005u6h4jkjbkawz,cm725evdm002gu6o4pqiyjr53
cm725evh6002ku6o49qtw4u3y,Water Supply Issue in Gonda,"The water supply in our locality is irregular. It sometimes takes days for the supply to be restored, making it extremely difficult to manage daily household chores.",Water Supply,Infrastructure,Water Distribution,21,Closed,High,MEDIUM,false,Medium - Families spending extra money on private water tankers,High - Affecting daily lives of hundreds of families in the area,Frustration,,,"['UP Jal Nigam Regulations', 'Water Supply Management Act']",2025-02-12 16:51:50.874,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Low - Minor impact on local vegetation,cm725evg6002iu6o4g8m3pf7v,cm725dfx50000u6h4y67rc83j,cm725evgo002ju6o4eu20br71
cm725evjx002nu6o4caq6s0qm,Electricity Issue in Lalitpur,"The electricity supply in our town is unreliable. Power cuts happen multiple times a day, and we don't get proper updates on when the supply will be restored.",Electricity,Utilities,Power Distribution,11,In Progress,High,MEDIUM,false,High - Business losses and additional expenses on generators,High - Disrupting business operations and daily activities,Irritation,,,"['UP Electricity Regulatory Commission Guidelines', 'Power Distribution Policy']",2025-02-12 16:51:50.974,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Medium - Increased generator usage causing pollution,cm725evj6002lu6o49iwg8kf9,cm725dg0e0001u6h4by5yx0yk,cm725evjo002mu6o4awf4mqdu
cm725evn9002pu6o4r467fui1,Utilities Issue in Lucknow,Water supply in my area is irregular. Sometimes it’s unavailable for days. It’s really inconvenient!,,Utilities,Water Distribution,17,Closed,High,MEDIUM,false,Additional water procurement costs,Disruption of daily life and hygiene,Frustrated,,,UP Water Supply Act 2019,2025-02-12 16:51:51.093,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water wastage and contamination,cm725et130009u6o45e2rnkk7,cm725dgaz0008u6h4o1r9mtq7,cm725evmu002ou6o4vxnvdhcr
cm725evq8002su6o453wo1mpc,Infrastructure Issue in Agra,"The roads in my locality are in pathetic condition, full of potholes. It's very risky to drive!",,Infrastructure,Road Maintenance,27,In Progress,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Annoyed,,,UP Road Maintenance Act 2017,2025-02-12 16:51:51.2,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725evpg002qu6o4hc2jgjoi,cm725dg3k0003u6h4e8f3kb9h,cm725evpz002ru6o4eec7bdpz
cm725evu9002vu6o40onlhj9u,Utilities Issue in Varanasi,Frequent power cuts in my area are causing problems for daily life. I can’t even use the fan in this heat!,,Utilities,Power Distribution,11,Closed,High,MEDIUM,false,Increased electricity costs,Disruption of daily activities,Angry,,,UP Electricity Act 2017,2025-02-12 16:51:51.345,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased generator usage causing pollution,cm725evst002tu6o4nf43xk4o,cm725dgc70009u6h4pqcjyeb5,cm725evtn002uu6o421mzbyt2
cm725evxf002yu6o4fz5u84lw,Sanitation Issue in Meerut,"The garbage collection is not regular, and there’s waste piling up on the streets.",,Sanitation,Garbage Collection,20,In Progress,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Disappointed,,,UP Sanitation Act 2018,2025-02-12 16:51:51.46,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and contamination,cm725evw5002wu6o43b5fm6ew,cm725dgdh000au6h4fagm9twc,cm725evwm002xu6o46lzaiow3
cm725ew0w0031u6o4csbq843h,Law Enforcement Issue in Aligarh,"The local police are very rude and unhelpful. I tried to file a complaint, but they just ignored me.",,Law Enforcement,Police Services,20,Open,High,MEDIUM,false,Loss of time and resources in following up complaints,Decreased public trust in law enforcement,Helpless,,,UP Police Modernization Act 2021,2025-02-12 16:51:51.584,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725evzs002zu6o44lku9id0,cm725dgfe000bu6h40byv631f,cm725ew090030u6o4vylnf9pw
cm725ew4f0034u6o4d8r2py39,Transportation Issue in Kanpur,"Buses are overcrowded, and there is no proper schedule. It’s hard to get to work on time!",,Transportation,Bus Services,25,Closed,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Frustrated,,,UP Public Transport Act 2018,2025-02-12 16:51:51.711,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to private vehicle usage,cm725ew320032u6o49c684bo2,cm725dggi000cu6h4gbmwutvf,cm725ew430033u6o4xy18cl7b
cm725ew7l0037u6o4by9f19ak,Transportation Issue in Noida,"Every day, the traffic jam is a nightmare. It takes hours just to move a few kilometers.",,Transportation,Traffic Management,25,In Progress,Medium,MEDIUM,false,Loss of productivity,Inconvenience for daily commuters,Irritated,,,UP Traffic Management Act 2016,2025-02-12 16:51:51.825,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Increased pollution due to traffic congestion,cm725ew6k0035u6o4fk3g33at,cm725dghl000du6h43wv647un,cm725ew7a0036u6o4sovsyt5f
cm725ewbm003au6o43hjlgc65,Governance Issue in Gorakhpur,I had to pay bribes just to get a simple government document. It’s really demoralizing.,,Governance,Corruption Control,5,Open,High,MEDIUM,false,Increased costs due to bribery,Decreased public trust in government services,Helpless,,,UP Anti-Corruption Act 2018,2025-02-12 16:51:51.971,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725ewau0038u6o4lgbteg7y,cm725dgiu000eu6h40hxar6vi,cm725ewbd0039u6o4rbwph4er
cm725ewej003du6o4koe87k92,Healthcare Issue in Jhansi,The public healthcare facilities are overcrowded and lack basic equipment. It’s tough for a common man to get proper treatment.,,Healthcare,Public Health,9,Closed,High,MEDIUM,false,Increased medical expenses,Poor health outcomes,Concerned,,,UP Health Services Act 2015,2025-02-12 16:51:52.076,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725ewdo003bu6o4erundia4,cm725dg6o0005u6h4jkjbkawz,cm725eweb003cu6o40tyhcdsr
cm725ewhf003gu6o4smejwg2n,Education Issue in Bareilly,The quality of education in government schools is very poor. My child is not learning anything useful.,,Education,School Curriculum,20,Closed,High,MEDIUM,false,Increased private tuition costs,Poor educational outcomes,Angry,,,UP Education Act 2014,2025-02-12 16:51:52.179,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725ewgk003eu6o4z9uke50f,cm725dg9j0007u6h4tzh2udh2,cm725ewh3003fu6o4fnfqvcnt
cm725ewkd003ju6o4pty86iv4,Infrastructure Issue in Allahabad,"After even a small rain, the streets get flooded. It’s very difficult to move around!",,Infrastructure,Urban Development,19,In Progress,High,MEDIUM,false,Increased repair costs,Inconvenience for residents,Frustrated,,,UP Infrastructure Development Act 2016,2025-02-12 16:51:52.286,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Flooding and water damage,cm725ewjf003hu6o48ei1tqsf,cm725dgk6000fu6h4bwj5qyj4,cm725ewk4003iu6o4rua1wlpy
cm725ewn8003mu6o4cg0nnmr1,Sanitation Issue in Lucknow,The public toilets in our area are unhygienic and stink. It’s embarrassing to even use them.,,Sanitation,Public Amenities,25,Closed,High,MEDIUM,false,Increased healthcare costs,Health hazards and unhygienic conditions,Embarrassed,,,UP Sanitation Act 2018,2025-02-12 16:51:52.388,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Pollution and contamination,cm725ewmd003ku6o4kjxgsmsz,cm725dgdh000au6h4fagm9twc,cm725ewmy003lu6o4j5jiahdj
cm725ewpt003pu6o4tnrqkpj1,Utilities Issue in Ghaziabad,The water supply in my area is contaminated with impurities. It’s unsafe to drink the water here.,,Utilities,Water Quality,9,Closed,High,MEDIUM,false,Increased healthcare costs,Health hazards and risk of diseases,Irritated,,,UP Water Quality Act 2019,2025-02-12 16:51:52.482,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Water contamination,cm725ewp6003nu6o4s77lym5c,cm725dgli000gu6h4ldtj08z8,cm725ewpl003ou6o440jx6quj
cm725ewtj003su6o4g4npk6mr,Infrastructure Issue in Aligarh,The roads are so narrow and full of traffic. I can't even walk properly without fear of getting hit by a vehicle.,,Infrastructure,Road Maintenance,4,In Progress,High,MEDIUM,false,Vehicle repair costs,Increased accidents and injuries,Frustrated,,,UP Road Maintenance Act 2017,2025-02-12 16:51:52.615,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,Air pollution due to traffic congestion,cm725ewsk003qu6o4afkqdt79,cm725dg3k0003u6h4e8f3kb9h,cm725ewt5003ru6o4ae611stc
cm725ewwo003vu6o4cysjdq27,Law Enforcement Issue in Moradabad,I had to give money to get my work done in the office. This corruption is everywhere!,,Law Enforcement,Police Services,27,Closed,High,MEDIUM,false,Loss of time and resources in following up complaints,Decreased public trust in law enforcement,Angry,,,UP Police Modernization Act 2021,2025-02-12 16:51:52.728,2025-02-05 00:00:00,2025-02-05 00:00:00,,,,,None,cm725ewvu003tu6o4p79qvth8,cm725dgfe000bu6h40byv631f,cm725ewwa003uu6o4mty529ox
